name, H, C, N, BF, B, assimetry, periodicity, genotype, g1, g2, g3, l1, l2, l3, s1, s2, s3
S1, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 465, 0, 0
S2, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 465, 0, 0
S3, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 465, 0, 0
S4, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 465, 0, 0
S5, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 465, 0, 0
S6, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 465, 0, 0
S7, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 465, 0, 0
S8, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 465, 0, 0
S9, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 465, 0, 0
S10,150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 465, 0, 0
T1, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 775, 0, 0
T2, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 775, 0, 0
T3, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 775, 0, 0
T4, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 775, 0, 0
T5, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 775, 0, 0
T6, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 775, 0, 0
T7, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 775, 0, 0
T8, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 775, 0, 0
T9, 150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 775, 0, 0
T10,150, 2, 30, 100, 1, 1, 2.0, random, 1.0, 0.0, 0.0, 10, 15, 23, 775, 0, 0
